Patient,Gender,Contract,Tenure,Charges
Patient #1,Male,Month-to-month,36 mo,$44.5
Patient #2,Male,Two year,14 mo,$87.7
Patient #3,Male,Two year,55 mo,$23.2
Patient #4,Male,Month-to-month,30 mo,$70.5
Patient #5,Male,Two year,26 mo,$91.6
Patient #6,Female,Month-to-month,58 mo,$78.9
Patient #7,Male,Month-to-month,55 mo,$54.0
Patient #8,Male,Month-to-month,44 mo,$30.2
Patient #9,Female,Month-to-month,46 mo,$104.7
Patient #10,Female,Month-to-month,59 mo,$73.6
Patient #11,Female,Month-to-month,71 mo,$49.3
Patient #12,Female,Two year,25 mo,$90.5
Patient #13,Male,Two year,30 mo,$97.3
Patient #14,Male,Month-to-month,13 mo,$58.0
Patient #15,Female,Two year,47 mo,$36.3
Patient #16,Female,Month-to-month,35 mo,$90.2
Patient #17,Male,Two year,22 mo,$73.4
Patient #18,Male,Month-to-month,60 mo,$57.9
Patient #19,Male,Two year,42 mo,$104.3
Patient #20,Male,Month-to-month,5 mo,$100.5
Patient #21,Female,One year,9 mo,$41.1
Patient #22,Female,Month-to-month,64 mo,$59.6
Patient #23,Female,Month-to-month,34 mo,$34.0
Patient #24,Female,Two year,55 mo,$109.8
Patient #25,Female,One year,29 mo,$119.7
Patient #26,Male,Two year,64 mo,$29.1
Patient #27,Male,Month-to-month,20 mo,$82.7
Patient #28,Female,Two year,9 mo,$58.5
Patient #29,Female,Two year,33 mo,$117.1
Patient #30,Male,Two year,15 mo,$88.2
Patient #31,Female,Two year,44 mo,$31.2
Patient #32,Female,Month-to-month,59 mo,$20.3
Patient #33,Female,Two year,23 mo,$70.8
Patient #34,Male,Two year,39 mo,$104.2
Patient #35,Male,Month-to-month,48 mo,$96.3
Patient #36,Male,Two year,42 mo,$68.9
Patient #37,Male,One year,40 mo,$43.9
Patient #38,Male,Two year,11 mo,$28.6
Patient #39,Female,Month-to-month,69 mo,$96.6
Patient #40,Male,Two year,61 mo,$114.7
Patient #41,Male,One year,68 mo,$107.2
Patient #42,Female,Month-to-month,70 mo,$95.5
Patient #43,Male,Two year,40 mo,$59.9
Patient #44,Female,One year,67 mo,$65.1
Patient #45,Male,Month-to-month,9 mo,$53.8
Patient #46,Male,Two year,29 mo,$20.7
Patient #47,Male,Month-to-month,9 mo,$110.5
Patient #48,Female,Month-to-month,66 mo,$43.8
Patient #49,Female,Month-to-month,70 mo,$33.2
Patient #50,Female,Month-to-month,61 mo,$100.7
Patient #51,Male,Month-to-month,13 mo,$85.9
Patient #52,Female,One year,53 mo,$66.7
Patient #53,Male,Two year,13 mo,$26.1
Patient #54,Female,Month-to-month,32 mo,$39.2
Patient #55,Female,Month-to-month,55 mo,$38.3
Patient #56,Female,Month-to-month,10 mo,$64.3
Patient #57,Male,Month-to-month,70 mo,$103.6
Patient #58,Male,Month-to-month,22 mo,$60.6
Patient #59,Female,Month-to-month,52 mo,$110.2
Patient #60,Male,One year,1 mo,$118.5
Patient #61,Female,One year,37 mo,$62.3
Patient #62,Female,Month-to-month,25 mo,$49.7
Patient #63,Male,Two year,70 mo,$26.1
Patient #64,Female,Month-to-month,7 mo,$78.4
Patient #65,Male,Month-to-month,66 mo,$28.0
Patient #66,Male,Month-to-month,9 mo,$87.5
Patient #67,Male,One year,16 mo,$114.2
Patient #68,Male,Two year,6 mo,$81.9
Patient #69,Female,Two year,67 mo,$51.6
Patient #70,Female,Month-to-month,41 mo,$43.9
Patient #71,Female,Month-to-month,39 mo,$65.7
Patient #72,Male,Month-to-month,59 mo,$82.1
Patient #73,Male,Month-to-month,69 mo,$41.3
Patient #74,Female,Month-to-month,45 mo,$108.1
